parser0            parser1            seed                 testcase                  output0  output1
c_cjson            c_frozen           {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            c_jansson          {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            c_jansson          {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            c_jsmn             {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            c_jsmn             {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            c_json_c           {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            c_json_c           {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            c_json_parser      {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            c_json_parser      {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            c_mjson            {"0":2,"0":3}        {"0\u0000":2,"0":3}       2        3
c_cjson            c_mjson            {"q":2,"q":3}        {"\u0071":2,"q":3}        2        3
c_cjson            c_mjson            {"q":2,"q":3}        {"q\u0000":2,"q":3}       2        3
c_cjson            c_mjson            {"😀":2,"😀":3}      {"😀\u0000":2,"😀":3}     2        3
c_cjson            cpp_boost          {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            cpp_boost          {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            cpp_mongoose       {"0":2,"0":3}        {"0\u0000":2,"0":3}       2        3
c_cjson            cpp_mongoose       {"q":2,"q":3}        {"\u0071":2,"q":3}        2        3
c_cjson            cpp_mongoose       {"q":2,"q":3}        {"q\u0000":2,"q":3}       2        3
c_cjson            cpp_mongoose       {"😀":2,"😀":3}      {"😀\u0000":2,"😀":3}     2        3
c_cjson            cpp_nlohmann       {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            cpp_nlohmann       {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            cpp_poco           {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            cpp_poco           {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            cpp_yajl           {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            cpp_yajl           {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            dotnet_newtonsoft  {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            dotnet_newtonsoft  {"q":2,"q":3}        {"q":2,"q":3}             2        3
c_cjson            dotnet_std         {"0":2,"0":3}        {"0":2,"0":3}             2        3
c_cjson            dotnet_std         {"q":2,"q":3}        {"q":2,"q":3}             2        3
